quantity,n_patients,n_clips,responder_clips,nonresponder_clips,responder_median,nonresponder_median,clip_auroc,patient_clustered_permutation_p,holm_p_across_five_quantities,permutations,seed
pre_awake_dfa_intercept_beta,50,100,56,44,-0.21073650825570464,0.017324250945952354,0.3449675324675325,0.04169595830404169,0.07032392967607032,1000000,20260910
pre_awake_connectivity_percent,50,100,56,44,0.0,0.0,0.3885957792207792,0.03516196483803516,0.07032392967607032,1000000,20260910
pre_awake_r0,50,100,56,44,0.4975488959917187,-0.13004065455956296,0.6907467532467533,0.011255988744011255,0.033767966232033764,1000000,20260910
post_sleep_entropy_beta,50,100,56,44,5.987703297317139,5.413141754694621,0.8027597402597403,1.3999986000014e-05,6.999993000007e-05,1000000,20260910
post_awake_dfa_intercept_beta,50,100,56,44,-0.43991517983817313,-0.0964980090006974,0.23133116883116883,0.000111999888000112,0.000447999552000448,1000000,20260910
