endpoint,analysis_family,input,aggregation,quantity,source_selected_cell,n_patients,n_values,values_per_patient,responder_patients,nonresponder_patients,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,patient_clustered_permutation_p,holm_p_across_24_grid_tests,significant_after_holm_0_05,permutations,seed
sustained,patient_average,PRE awake,mean of two awake clips,delta PLI connectivity,True,50,50,1,28,22,5.847953259944916,12.426900491118431,0.3425324675324675,0.6574675324675325,lower,0.056764943235056764,0.965004034995965,False,1000000,20260913
sustained,single_clip,PRE sleep,one clip,beta DFA intercept,False,50,100,2,28,22,-0.08594973047520929,0.10590954469195213,0.3847402597402597,0.6152597402597403,lower,0.14972085027914972,1.0,False,1000000,20260913
sustained,patient_average,PRE sleep,mean of two sleep clips,beta DFA intercept,False,50,50,1,28,22,-0.09131338814347055,0.17140218716729402,0.3847402597402597,0.6152597402597403,lower,0.16983483016516984,1.0,False,1000000,20260913
sustained,single_clip,PRE sleep,one clip,beta Shannon entropy,False,50,100,2,28,22,5.387816424859956,5.157822441413219,0.6383928571428571,0.6383928571428571,higher,0.06758093241906758,1.0,False,1000000,20260913
sustained,patient_average,PRE sleep,mean of two sleep clips,beta Shannon entropy,False,50,50,1,28,22,5.409316511983233,5.251034345600025,0.6363636363636364,0.6363636363636364,higher,0.10245189754810245,1.0,False,1000000,20260913
sustained,single_clip,PRE sleep,one clip,delta PLI connectivity,False,50,100,2,28,22,2.923976629972458,8.187134563922882,0.36444805194805197,0.635551948051948,lower,0.07954792045207955,1.0,False,1000000,20260913
sustained,patient_average,PRE sleep,mean of two sleep clips,delta PLI connectivity,False,50,50,1,28,22,4.239766113460064,10.380117036402225,0.35633116883116883,0.6436688311688312,lower,0.08451291548708452,1.0,False,1000000,20260913
sustained,single_clip,POST awake,one clip,beta DFA intercept,True,50,100,2,28,22,-0.43991517983817313,-0.0964980090006974,0.23133116883116883,0.7686688311688312,lower,0.000143999856000144,0.0030239969760030238,True,1000000,20260913
sustained,patient_average,POST awake,mean of two awake clips,beta DFA intercept,True,50,50,1,28,22,-0.4423040780709,-0.08664584514785312,0.18344155844155843,0.8165584415584416,lower,7.4999925000075e-05,0.0016499983500016498,True,1000000,20260913
sustained,single_clip,POST awake,one clip,beta Shannon entropy,False,50,100,2,28,22,5.90502110655064,5.955233062195189,0.4926948051948052,0.5073051948051948,lower,0.9253510746489253,1.0,False,1000000,20260913
sustained,patient_average,POST awake,mean of two awake clips,beta Shannon entropy,False,50,50,1,28,22,5.9022224851632625,5.935482600508775,0.4967532467532468,0.5032467532467533,lower,0.9768330231669768,1.0,False,1000000,20260913
sustained,single_clip,POST awake,one clip,delta PLI connectivity,False,50,100,2,28,22,8.187134563922882,8.479532226920128,0.43770292207792205,0.562297077922078,lower,0.42869157130842866,1.0,False,1000000,20260913
sustained,patient_average,POST awake,mean of two awake clips,delta PLI connectivity,False,50,50,1,28,22,9.941520541906357,7.894736900925636,0.4310064935064935,0.5689935064935066,lower,0.4097555902444098,1.0,False,1000000,20260913
sustained,single_clip,POST sleep,one clip,beta DFA intercept,False,50,100,2,28,22,-0.47497309653723385,-0.3442927473786134,0.39366883116883117,0.6063311688311688,lower,0.17105682894317106,1.0,False,1000000,20260913
sustained,patient_average,POST sleep,mean of two sleep clips,beta DFA intercept,False,50,50,1,28,22,-0.5132755318915163,-0.36818990908406013,0.39285714285714285,0.6071428571428572,lower,0.1985098014901985,1.0,False,1000000,20260913
sustained,single_clip,POST sleep,one clip,beta Shannon entropy,True,50,100,2,28,22,5.987703297317139,5.413141754694621,0.8027597402597403,0.8027597402597403,higher,6.999993000007e-06,0.00016799983200016798,True,1000000,20260913
sustained,patient_average,POST sleep,mean of two sleep clips,beta Shannon entropy,True,50,50,1,28,22,5.972874047761917,5.37466260090507,0.8522727272727273,0.8522727272727273,higher,9.99999000001e-06,0.00022999977000023002,True,1000000,20260913
sustained,single_clip,POST sleep,one clip,delta PLI connectivity,False,50,100,2,28,22,8.187134563922882,21.052631735801697,0.38250811688311687,0.6174918831168832,lower,0.13538586461413538,1.0,False,1000000,20260913
sustained,patient_average,POST sleep,mean of two sleep clips,delta PLI connectivity,False,50,50,1,28,22,10.964912362396717,22.514619678258896,0.37905844155844154,0.6209415584415585,lower,0.14635785364214635,1.0,False,1000000,20260913
