endpoint_tested_here,analysis_family,input,aggregation,quantity,source_target,source_formula,matches_source_patient_construction,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,patient_clustered_permutation_p,holm_p_across_16_derived_tests,significant_after_holm_0_05,permutations,seed
sustained,published EEG response score,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,R1,sustained response,4.765*POST-sleep entropy - 7.786*POST-awake DFA,False,50,200,4,31.948225112488082,26.10173859783405,0.8730722402597403,0.8730722402597403,higher,9.99999000001e-07,1.5999984000016e-05,True,1000000,20260915
sustained,published duration-adjusted response probability,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,P1,sustained response,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),False,50,200,4,0.0010301105911655435,1.9975545505324625e-06,0.8934659090909091,0.8934659090909091,higher,9.99999000001e-07,1.5999984000016e-05,True,1000000,20260915
sustained,published relapse metric,POST awake + POST sleep,all four within-patient POST awake/sleep clip pairs,rho,relapse time among immediate responders,4.008*POST-awake DFA - 1.661*POST-sleep entropy,False,50,200,4,-11.603172655748011,-9.183466469885728,0.14042207792207792,0.859577922077922,lower,9.99999000001e-07,1.5999984000016e-05,True,1000000,20260915
sustained,published EEG response score,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,R1,sustained response,4.765*POST-sleep entropy - 7.786*POST-awake DFA,True,50,50,1,31.77656536180283,26.936423558194996,0.9237012987012987,0.9237012987012987,higher,9.99999000001e-07,1.5999984000016e-05,True,1000000,20260915
sustained,published duration-adjusted response probability,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,P1,sustained response,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),True,50,50,1,0.001275428936300986,4.047495475452746e-06,0.939935064935065,0.939935064935065,higher,9.99999000001e-07,1.5999984000016e-05,True,1000000,20260915
sustained,published relapse metric,POST awake + POST sleep,mean of two POST awake and two POST sleep clips,rho,relapse time among immediate responders,4.008*POST-awake DFA - 1.661*POST-sleep entropy,True,50,50,1,-11.561669979196914,-9.561531475862772,0.09090909090909091,0.9090909090909091,lower,1.999998000002e-06,2.1999978000022002e-05,True,1000000,20260915
sustained,published interval-change analysis,PRE + POST awake,all four within-patient PRE/POST clip pairs,POST - PRE awake DFA,sustained response,POST feature - PRE feature,False,50,200,4,-0.29334189963546964,-0.1179163046327315,0.3969155844155844,0.6030844155844156,lower,0.13297286702713298,0.5318914681085319,False,1000000,20260915
sustained,published interval-change analysis,PRE + POST awake,difference between patient-level study means,POST - PRE awake DFA,sustained response,POST feature - PRE feature,True,50,50,1,-0.22369807110426887,-0.1488405860328053,0.41883116883116883,0.5811688311688312,lower,0.33755866244133753,1.0,False,1000000,20260915
sustained,published interval-change analysis,PRE + POST awake,all four within-patient PRE/POST clip pairs,POST - PRE awake PLI,sustained response,POST feature - PRE feature,False,50,200,4,4.678362607955933,1.1695906519889832,0.5560064935064936,0.5560064935064936,higher,0.4576095423904576,1.0,False,1000000,20260915
sustained,published interval-change analysis,PRE + POST awake,difference between patient-level study means,POST - PRE awake PLI,sustained response,POST feature - PRE feature,True,50,50,1,7.163742557168007,2.1929822862148285,0.5689935064935064,0.5689935064935064,higher,0.41249158750841247,1.0,False,1000000,20260915
sustained,published interval-change analysis,PRE + POST sleep,all four within-patient PRE/POST clip pairs,POST - PRE sleep entropy,sustained response,POST feature - PRE feature,False,50,200,4,0.5063642884515307,0.09678169485984434,0.695515422077922,0.695515422077922,higher,0.004435995564004436,0.026615973384026617,True,1000000,20260915
sustained,published interval-change analysis,PRE + POST sleep,difference between patient-level study means,POST - PRE sleep entropy,sustained response,POST feature - PRE feature,True,50,50,1,0.5696539384425017,0.08298185110852074,0.7256493506493507,0.7256493506493507,higher,0.006060993939006061,0.030304969695030305,True,1000000,20260915
