endpoint_tested_here,metric_category,source_target,input,quantity,calculation_level,aggregation,source_selected_or_defined,matches_source_patient_construction,source_formula,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,raw_p,holm_adjusted_p,adjustment_family,significant_after_holm_0_05,permutations,seed
immediate,individual qEEG feature,response,POST awake,beta Shannon entropy,patient-based,mean of two awake clips,False,False,,50,50,1,5.930789438320405,5.763190493597534,0.5381944444444444,0.5381944444444444,higher,0.6675953324046676,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST awake,delta PLI connectivity,patient-based,mean of two awake clips,False,False,,50,50,1,9.941520541906357,7.894736900925636,0.4105902777777778,0.5894097222222222,lower,0.303039696960303,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,beta DFA intercept,patient-based,mean of two sleep clips,False,False,,50,50,1,-0.4816749190696184,-0.3681899090840601,0.4357638888888889,0.5642361111111112,lower,0.464982535017465,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,beta Shannon entropy,patient-based,mean of two sleep clips,True,True,,50,50,1,5.931657196749456,5.253130953460362,0.8229166666666666,0.8229166666666666,higher,0.0001059998940001,0.0024379975620024,24 individual-feature tests within endpoint,True,1000000,20260912
immediate,individual qEEG feature,response,POST sleep,delta PLI connectivity,patient-based,mean of two sleep clips,False,False,,50,50,1,12.134502828121184,22.514619678258896,0.4314236111111111,0.5685763888888888,lower,0.4277375722624277,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,beta DFA intercept,patient-based,mean of two awake clips,True,True,,50,50,1,-0.1820821776635719,-0.0735283659927074,0.4131944444444444,0.5868055555555556,lower,0.3195906804093196,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,beta Shannon entropy,patient-based,mean of two awake clips,False,False,,50,50,1,5.826099028892608,5.709232445204757,0.5625,0.5625,higher,0.4763405236594763,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE awake,delta PLI connectivity,patient-based,mean of two awake clips,True,True,,50,50,1,6.2865497544407845,11.84210516512394,0.3932291666666667,0.6067708333333333,lower,0.2181017818982181,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,beta DFA intercept,patient-based,mean of two sleep clips,False,False,,50,50,1,-0.0544356758433946,-0.090449603068125,0.5,0.5,higher,1.0,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,beta Shannon entropy,patient-based,mean of two sleep clips,False,False,,50,50,1,5.409316511983233,5.238653008754215,0.6614583333333334,0.6614583333333334,higher,0.0596659403340596,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
immediate,individual qEEG feature,response,PRE sleep,delta PLI connectivity,patient-based,mean of two sleep clips,False,False,,50,50,1,4.239766113460064,10.380117036402224,0.3671875,0.6328125,lower,0.124063875936124,1.0,24 individual-feature tests within endpoint,False,1000000,20260912
